"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2024","EQ","1,857.50","1,865.00","1,822.45","1,849.85","1,838.90","1,838.05","1,844.40","1,985.40","1,232.85","5,04,762","93,09,81,068.65","25,550"
"31-Jul-2024","EQ","1,823.00","1,857.60","1,819.10","1,815.80","1,847.00","1,849.85","1,842.65","1,985.40","1,232.85","8,31,749","1,53,26,23,990.30","69,477"
"30-Jul-2024","EQ","1,837.60","1,844.65","1,812.00","1,837.60","1,813.05","1,815.80","1,821.67","1,985.40","1,232.85","8,75,642","1,59,51,33,731.20","47,517"
"29-Jul-2024","EQ","1,855.00","1,862.65","1,832.10","1,838.65","1,838.00","1,837.60","1,845.13","1,985.40","1,232.85","8,38,188","1,54,65,67,296.30","51,063"
"26-Jul-2024","EQ","1,846.00","1,856.80","1,826.05","1,826.80","1,838.00","1,838.65","1,841.77","1,985.40","1,232.85","8,14,890","1,50,08,41,592.25","35,086"
"25-Jul-2024","EQ","1,786.00","1,840.00","1,774.70","1,791.75","1,838.85","1,826.80","1,812.37","1,985.40","1,232.85","14,49,713","2,62,74,22,466.85","60,020"
"24-Jul-2024","EQ","1,762.00","1,799.45","1,753.25","1,762.15","1,795.00","1,791.75","1,782.62","1,985.40","1,232.85","8,52,488","1,51,96,62,811.35","45,148"
"23-Jul-2024","EQ","1,772.95","1,774.95","1,687.55","1,768.70","1,755.35","1,762.15","1,740.57","1,985.40","1,232.85","16,04,569","2,79,28,66,532.90","86,447"
"22-Jul-2024","EQ","1,768.00","1,784.95","1,740.55","1,768.50","1,767.00","1,768.70","1,767.23","1,985.40","1,232.85","13,15,829","2,32,53,70,775.75","79,611"
"19-Jul-2024","EQ","1,870.00","1,894.00","1,765.00","1,862.65","1,765.85","1,768.50","1,799.24","1,985.40","1,232.85","19,92,696","3,58,53,35,000.75","97,305"
"18-Jul-2024","EQ","1,880.00","1,915.80","1,821.05","1,875.40","1,870.00","1,862.65","1,861.67","1,985.40","1,232.85","33,79,348","6,29,12,36,919.10","1,45,380"
"16-Jul-2024","EQ","1,896.00","1,910.00","1,870.00","1,891.70","1,880.00","1,875.40","1,890.34","1,985.40","1,232.85","12,13,886","2,29,46,55,600.40","64,624"
"15-Jul-2024","EQ","1,913.00","1,939.10","1,881.50","1,908.45","1,885.00","1,891.70","1,906.68","1,985.40","1,232.85","4,83,229","92,13,63,530.35","34,366"
"12-Jul-2024","EQ","1,920.15","1,929.00","1,897.85","1,920.00","1,910.00","1,908.45","1,909.49","1,985.40","1,232.85","5,25,200","1,00,28,62,702.50","38,488"
"11-Jul-2024","EQ","1,946.00","1,949.70","1,915.20","1,929.45","1,917.65","1,920.00","1,928.19","1,985.40","1,232.85","5,84,446","1,12,69,22,257.40","27,768"
"10-Jul-2024","EQ","1,934.95","1,945.00","1,898.40","1,921.05","1,927.00","1,929.45","1,923.79","1,985.40","1,232.85","6,92,263","1,33,17,71,079.75","45,089"
"09-Jul-2024","EQ","1,897.00","1,938.90","1,866.00","1,886.20","1,925.00","1,921.05","1,918.02","1,985.40","1,232.85","11,06,006","2,12,13,41,907.85","60,590"
"08-Jul-2024","EQ","1,904.80","1,904.80","1,866.65","1,893.65","1,886.85","1,886.20","1,880.18","1,985.40","1,232.85","6,25,411","1,17,58,82,989.70","41,386"
"05-Jul-2024","EQ","1,882.35","1,904.25","1,874.00","1,882.60","1,888.80","1,893.65","1,895.24","1,985.40","1,232.85","4,74,114","89,85,59,225.35","25,647"
"04-Jul-2024","EQ","1,887.50","1,908.90","1,875.10","1,878.90","1,882.00","1,882.60","1,891.23","1,985.40","1,232.85","7,38,610","1,39,68,82,001.80","53,942"
"03-Jul-2024","EQ","1,814.70","1,884.00","1,814.70","1,814.70","1,882.40","1,878.90","1,854.06","1,985.40","1,232.85","18,90,144","3,50,44,35,534.05","84,206"
"02-Jul-2024","EQ","1,830.00","1,831.95","1,806.75","1,823.90","1,811.05","1,814.70","1,820.40","1,985.40","1,232.85","12,35,074","2,24,83,33,686.60","60,488"
"01-Jul-2024","EQ","1,821.55","1,874.00","1,817.00","1,822.40","1,824.95","1,823.90","1,839.09","1,985.40","1,232.85","13,46,860","2,47,69,96,523.60","67,244"
"28-Jun-2024","EQ","1,863.00","1,869.45","1,812.60","1,852.85","1,820.00","1,822.40","1,839.58","1,985.40","1,232.85","17,99,112","3,30,96,13,690.25","85,046"
"27-Jun-2024","EQ","1,915.40","1,918.30","1,844.40","1,918.30","1,850.00","1,852.85","1,878.01","1,985.40","1,232.85","21,45,795","4,02,98,22,016.30","71,853"
"26-Jun-2024","EQ","1,901.20","1,945.35","1,901.20","1,916.85","1,915.05","1,918.30","1,926.58","1,985.40","1,232.85","10,11,884","1,94,94,76,143.85","50,947"
"25-Jun-2024","EQ","1,915.00","1,968.95","1,911.35","1,911.85","1,915.20","1,916.85","1,942.43","1,985.40","1,232.85","18,95,230","3,68,13,44,907.20","87,586"
"24-Jun-2024","EQ","1,891.00","1,935.00","1,883.50","1,887.05","1,910.00","1,911.85","1,913.99","1,985.40","1,232.85","24,85,454","4,75,71,25,605.20","1,18,333"
"21-Jun-2024","EQ","1,832.55","1,924.90","1,818.05","1,818.30","1,885.00","1,887.05","1,884.46","1,985.40","1,232.85","35,96,315","6,77,71,08,668.55","1,58,301"
"20-Jun-2024","EQ","1,818.05","1,825.90","1,805.65","1,815.65","1,818.15","1,818.30","1,819.44","1,985.40","1,232.85","10,36,750","1,88,63,04,821.15","62,738"
"19-Jun-2024","EQ","1,836.20","1,840.00","1,807.20","1,828.20","1,815.30","1,815.65","1,821.62","1,985.40","1,232.85","12,61,356","2,29,77,09,445.05","97,708"
"18-Jun-2024","EQ","1,831.50","1,853.55","1,824.00","1,839.50","1,825.00","1,828.20","1,834.22","1,985.40","1,232.85","35,21,095","6,45,84,60,759.90","86,384"
"14-Jun-2024","EQ","1,864.95","1,873.00","1,835.30","1,838.50","1,838.55","1,839.50","1,848.59","1,985.40","1,232.85","27,91,525","5,16,03,75,560.10","1,00,010"
"13-Jun-2024","EQ","1,851.00","1,853.05","1,832.30","1,830.25","1,838.25","1,838.50","1,839.06","1,985.40","1,232.85","16,07,614","2,95,64,91,525.25","59,538"
"12-Jun-2024","EQ","1,836.00","1,849.70","1,820.00","1,832.85","1,830.40","1,830.25","1,829.66","1,985.40","1,232.85","7,04,224","1,28,84,93,905.05","44,351"
"11-Jun-2024","EQ","1,860.00","1,870.85","1,826.00","1,856.85","1,832.00","1,832.85","1,838.72","1,985.40","1,232.85","12,06,884","2,21,91,21,555.35","84,437"
"10-Jun-2024","EQ","1,860.00","1,885.90","1,846.55","1,855.35","1,850.00","1,856.85","1,863.11","1,985.40","1,232.85","7,90,525","1,47,28,33,164.65","50,712"
"07-Jun-2024","EQ","1,840.40","1,861.80","1,823.45","1,839.70","1,850.35","1,855.35","1,848.65","1,985.40","1,232.85","11,65,761","2,15,50,79,431.30","46,880"
"06-Jun-2024","EQ","1,810.00","1,875.00","1,810.00","1,792.80","1,840.80","1,839.70","1,841.41","1,985.40","1,232.85","20,87,804","3,84,44,95,038.40","72,724"
"05-Jun-2024","EQ","1,774.05","1,817.00","1,750.00","1,773.00","1,788.50","1,792.80","1,787.21","1,985.40","1,232.85","18,55,495","3,31,61,50,449.00","78,054"
