Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
22-Feb-24,EQ,990,990,978,988.05,982.85,982.2,983.02,"1,219.00",648.5,"86,122","8,46,59,910.10","10,760"
21-Feb-24,EQ,999.45,999.5,982.3,993.5,992,988.05,990.77,"1,219.00",648.5,"96,726","9,58,32,767.30","8,671"
20-Feb-24,EQ,998,"1,004.45",991,997.35,991.4,993.5,997.73,"1,219.00",648.5,"1,29,275","12,89,81,804.55","9,579"
19-Feb-24,EQ,"1,000.25","1,006.20",991.95,999.05,999,997.35,998.29,"1,219.00",648.5,"1,32,930","13,27,03,259.15","9,500"
16-Feb-24,EQ,"1,014.70","1,020.00",994.05,"1,002.80",997.5,999.05,"1,001.61","1,219.00",557.9,"1,49,777","15,00,18,554.30","17,652"
15-Feb-24,EQ,"1,019.90","1,024.00",995.2,"1,003.55","1,001.00","1,002.80","1,005.51","1,219.00",557.9,"2,07,133","20,82,73,917.70","21,042"
14-Feb-24,EQ,"1,010.05","1,010.05",992,"1,009.90",998.55,"1,003.55","1,000.12","1,219.00",557.9,"1,16,292","11,63,05,676.05","10,386"
13-Feb-24,EQ,996.8,"1,014.00",982.05,996.8,"1,005.00","1,009.90","1,003.28","1,219.00",557.9,"2,69,826","27,07,11,179.50","25,234"
12-Feb-24,EQ,"1,059.05","1,069.95",987,"1,058.45",999.9,996.8,"1,016.27","1,219.00",557.9,"2,44,465","24,84,41,399.05","25,556"
09-Feb-24,EQ,"1,137.00","1,137.20","1,052.00","1,137.00","1,059.05","1,058.45","1,080.69","1,219.00",535,"3,13,621","33,89,25,723.40","24,786"
08-Feb-24,EQ,"1,140.00","1,150.00","1,102.05","1,130.60","1,130.00","1,137.00","1,124.26","1,219.00",535,"2,80,446","31,52,93,920.10","24,585"
07-Feb-24,EQ,"1,125.00","1,183.00","1,117.85","1,102.80","1,125.00","1,130.60","1,153.36","1,219.00",535,"8,97,307","1,03,49,14,893.20","55,601"
06-Feb-24,EQ,"1,080.00","1,134.05","1,079.00","1,078.80","1,099.30","1,102.80","1,110.33","1,219.00",535,"2,89,603","32,15,55,818.20","24,719"
05-Feb-24,EQ,"1,064.00","1,091.45","1,064.00","1,064.70","1,080.00","1,078.80","1,080.96","1,219.00",535,"1,94,770","21,05,39,531.90","17,569"
